name;symbol;asset_type;launch_year;category;label_code
Sui                                   ;SUI       ;Crypto;2020;General;220
Ethereum                              ;ETH       ;Crypto;2020;General;211
UNUS SED LEO                          ;LEOu      ;Crypto;2020;General;215
BNB                                   ;BNB       ;Crypto;2020;General;209
Ethereum                              ;ETH       ;Crypto;2020;General;211
TRON                                  ;TRX       ;Crypto;2020;General;206
Litecoin                              ;LTC       ;Crypto;2020;General;223
Hedera                                ;HBAR      ;Crypto;2020;General;219
XRP                                   ;XRP       ;Crypto;2020;General;204
Chainlink                             ;LINK      ;Crypto;2020;General;216
Sui                                   ;SUI       ;Crypto;2020;General;220
Stellar                               ;XLM       ;Crypto;2020;General;221
USDC                                  ;USDC      ;Crypto;2020;General;217
MANTRA                                ;OM        ;Crypto;2020;General;235
TRON                                  ;TRX       ;Crypto;2020;General;206
Chainlink                             ;LINK      ;Crypto;2020;General;216
Sui                                   ;SUI       ;Crypto;2020;General;220
Stellar                               ;XLM       ;Crypto;2020;General;221
Avalanche                             ;AVAX      ;Crypto;2020;General;213
UNUS SED LEO                          ;LEOu      ;Crypto;2020;General;215
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
TRON                                  ;TRX       ;Crypto;2020;General;206
Avalanche                             ;AVAX      ;Crypto;2020;General;213
Stellar                               ;XLM       ;Crypto;2020;General;221
Solana                                ;SOL       ;Crypto;2020;General;212
Bitcoin                               ;BTC       ;Crypto;2020;General;205
Cardano                               ;ADA       ;Crypto;2020;General;214
Avalanche                             ;AVAX      ;Crypto;2020;General;213
Polkadot                              ;pDOTn     ;Crypto;2020;General;228
TRON                                  ;TRX       ;Crypto;2020;General;206
Ethereum                              ;ETH       ;Crypto;2020;General;211
Litecoin                              ;LTC       ;Crypto;2020;General;223
Dogecoin                              ;DOGE      ;Crypto;2020;General;207
XRP                                   ;XRP       ;Crypto;2020;General;204
USDC                                  ;USDC      ;Crypto;2020;General;217
Dogecoin                              ;DOGE      ;Crypto;2020;General;207
Cardano                               ;ADA       ;Crypto;2020;General;214
Stellar                               ;XLM       ;Crypto;2020;General;221
Solana                                ;SOL       ;Crypto;2020;General;212
Litecoin                              ;LTC       ;Crypto;2020;General;223
Chainlink                             ;LINK      ;Crypto;2020;General;216
Ethereum                              ;ETH       ;Crypto;2020;General;211
BNB                                   ;BNB       ;Crypto;2020;General;209
UNUS SED LEO                          ;LEOu      ;Crypto;2020;General;215
Stellar                               ;XLM       ;Crypto;2020;General;221
BNB                                   ;BNB       ;Crypto;2020;General;209
Avalanche                             ;AVAX      ;Crypto;2020;General;213
Chainlink                             ;LINK      ;Crypto;2020;General;216
TRON                                  ;TRX       ;Crypto;2020;General;206
Polkadot                              ;pDOTn     ;Crypto;2020;General;228
Tether USDt                           ;USDT      ;Crypto;2020;General;208
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
Dogecoin                              ;DOGE      ;Crypto;2020;General;207
Chainlink                             ;LINK      ;Crypto;2020;General;216
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
UNUS SED LEO                          ;LEOu      ;Crypto;2020;General;215
Bitcoin                               ;BTC       ;Crypto;2020;General;205
Tether USDt                           ;USDT      ;Crypto;2020;General;208
Chainlink                             ;LINK      ;Crypto;2020;General;216
Avalanche                             ;AVAX      ;Crypto;2020;General;213
Solana                                ;SOL       ;Crypto;2020;General;212
Dogecoin                              ;DOGE      ;Crypto;2020;General;207
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
Hedera                                ;HBAR      ;Crypto;2020;General;219
Toncoin                               ;TON       ;Crypto;2020;General;225
Bitcoin                               ;BTC       ;Crypto;2020;General;205
Cardano                               ;ADA       ;Crypto;2020;General;214
BNB                                   ;BNB       ;Crypto;2020;General;209
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
UNUS SED LEO                          ;LEOu      ;Crypto;2020;General;215
Solana                                ;SOL       ;Crypto;2020;General;212
USDC                                  ;USDC      ;Crypto;2020;General;217
Stellar                               ;XLM       ;Crypto;2020;General;221
Hedera                                ;HBAR      ;Crypto;2020;General;219
Tether USDt                           ;USDT      ;Crypto;2020;General;208
Solana                                ;SOL       ;Crypto;2020;General;212
Litecoin                              ;LTC       ;Crypto;2020;General;223
Ethereum                              ;ETH       ;Crypto;2020;General;211
Solana                                ;SOL       ;Crypto;2020;General;212
Chainlink                             ;LINK      ;Crypto;2020;General;216
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
Polkadot                              ;pDOTn     ;Crypto;2020;General;228
Hedera                                ;HBAR      ;Crypto;2020;General;219
Litecoin                              ;LTC       ;Crypto;2020;General;223
Toncoin                               ;TON       ;Crypto;2020;General;225
Tether USDt                           ;USDT      ;Crypto;2020;General;208
XRP                                   ;XRP       ;Crypto;2020;General;204
Litecoin                              ;LTC       ;Crypto;2020;General;223
Tether USDt                           ;USDT      ;Crypto;2020;General;208
Toncoin                               ;TON       ;Crypto;2020;General;225
Avalanche                             ;AVAX      ;Crypto;2020;General;213
Solana                                ;SOL       ;Crypto;2020;General;212
XRP                                   ;XRP       ;Crypto;2020;General;204
Litecoin                              ;LTC       ;Crypto;2020;General;223
Polkadot                              ;pDOTn     ;Crypto;2020;General;228
Stellar                               ;XLM       ;Crypto;2020;General;221
Solana                                ;SOL       ;Crypto;2020;General;212
BNB                                   ;BNB       ;Crypto;2020;General;209
Solana                                ;SOL       ;Crypto;2020;General;212
USDC                                  ;USDC      ;Crypto;2020;General;217
Hedera                                ;HBAR      ;Crypto;2020;General;219
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
XRP                                   ;XRP       ;Crypto;2020;General;204
USDC                                  ;USDC      ;Crypto;2020;General;217
Tether USDt                           ;USDT      ;Crypto;2020;General;208
Avalanche                             ;AVAX      ;Crypto;2020;General;213
Chainlink                             ;LINK      ;Crypto;2020;General;216
USDC                                  ;USDC      ;Crypto;2020;General;217
Avalanche                             ;AVAX      ;Crypto;2020;General;213
UNUS SED LEO                          ;LEOu      ;Crypto;2020;General;215
Chainlink                             ;LINK      ;Crypto;2020;General;216
Dogecoin                              ;DOGE      ;Crypto;2020;General;207
BNB                                   ;BNB       ;Crypto;2020;General;209
Toncoin                               ;TON       ;Crypto;2020;General;225
Litecoin                              ;LTC       ;Crypto;2020;General;223
Bitcoin                               ;BTC       ;Crypto;2020;General;205
XRP                                   ;XRP       ;Crypto;2020;General;204
Hedera                                ;HBAR      ;Crypto;2020;General;219
Polkadot                              ;pDOTn     ;Crypto;2020;General;228
USDC                                  ;USDC      ;Crypto;2020;General;217
Avalanche                             ;AVAX      ;Crypto;2020;General;213
USDC                                  ;USDC      ;Crypto;2020;General;217
TRON                                  ;TRX       ;Crypto;2020;General;206
Litecoin                              ;LTC       ;Crypto;2020;General;223
Ethereum                              ;ETH       ;Crypto;2020;General;211
Polkadot                              ;pDOTn     ;Crypto;2020;General;228
Sui                                   ;SUI       ;Crypto;2020;General;220
Chainlink                             ;LINK      ;Crypto;2020;General;216
UNUS SED LEO                          ;LEOu      ;Crypto;2020;General;215
Litecoin                              ;LTC       ;Crypto;2020;General;223
BNB                                   ;BNB       ;Crypto;2020;General;209
Hedera                                ;HBAR      ;Crypto;2020;General;219
Toncoin                               ;TON       ;Crypto;2020;General;225
USDC                                  ;USDC      ;Crypto;2020;General;217
Cardano                               ;ADA       ;Crypto;2020;General;214
Ethereum                              ;ETH       ;Crypto;2020;General;211
Tether USDt                           ;USDT      ;Crypto;2020;General;208
Bitcoin                               ;BTC       ;Crypto;2020;General;205
Cardano                               ;ADA       ;Crypto;2020;General;214
Avalanche                             ;AVAX      ;Crypto;2020;General;213
Chainlink                             ;LINK      ;Crypto;2020;General;216
BNB                                   ;BNB       ;Crypto;2020;General;209
Tether USDt                           ;USDT      ;Crypto;2020;General;208
Hedera                                ;HBAR      ;Crypto;2020;General;219
UNUS SED LEO                          ;LEOu      ;Crypto;2020;General;215
Chainlink                             ;LINK      ;Crypto;2020;General;216
TRON                                  ;TRX       ;Crypto;2020;General;206
Litecoin                              ;LTC       ;Crypto;2020;General;223
Solana                                ;SOL       ;Crypto;2020;General;212
UNUS SED LEO                          ;LEOu      ;Crypto;2020;General;215
USDC                                  ;USDC      ;Crypto;2020;General;217
Polkadot                              ;pDOTn     ;Crypto;2020;General;228
Sui                                   ;SUI       ;Crypto;2020;General;220
Hedera                                ;HBAR      ;Crypto;2020;General;219
BNB                                   ;BNB       ;Crypto;2020;General;209
TRON                                  ;TRX       ;Crypto;2020;General;206
BNB                                   ;BNB       ;Crypto;2020;General;209
Ethereum                              ;ETH       ;Crypto;2020;General;211
Polkadot                              ;pDOTn     ;Crypto;2020;General;228
UNUS SED LEO                          ;LEOu      ;Crypto;2020;General;215
Cardano                               ;ADA       ;Crypto;2020;General;214
Bitcoin                               ;BTC       ;Crypto;2020;General;205
Litecoin                              ;LTC       ;Crypto;2020;General;223
Stellar                               ;XLM       ;Crypto;2020;General;221
BNB                                   ;BNB       ;Crypto;2020;General;209
Toncoin                               ;TON       ;Crypto;2020;General;225
Hedera                                ;HBAR      ;Crypto;2020;General;219
Sui                                   ;SUI       ;Crypto;2020;General;220
Avalanche                             ;AVAX      ;Crypto;2020;General;213
Ethereum                              ;ETH       ;Crypto;2020;General;211
Polkadot                              ;pDOTn     ;Crypto;2020;General;228
UNUS SED LEO                          ;LEOu      ;Crypto;2020;General;215
Ethereum                              ;ETH       ;Crypto;2020;General;211
Dogecoin                              ;DOGE      ;Crypto;2020;General;207
BNB                                   ;BNB       ;Crypto;2020;General;209
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
Chainlink                             ;LINK      ;Crypto;2020;General;216
Toncoin                               ;TON       ;Crypto;2020;General;225
Ethereum                              ;ETH       ;Crypto;2020;General;211
BNB                                   ;BNB       ;Crypto;2020;General;209
Tether USDt                           ;USDT      ;Crypto;2020;General;208
Avalanche                             ;AVAX      ;Crypto;2020;General;213
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
BNB                                   ;BNB       ;Crypto;2020;General;209
Stellar                               ;XLM       ;Crypto;2020;General;221
Litecoin                              ;LTC       ;Crypto;2020;General;223
Solana                                ;SOL       ;Crypto;2020;General;212
Ethereum                              ;ETH       ;Crypto;2020;General;211
Chainlink                             ;LINK      ;Crypto;2020;General;216
BNB                                   ;BNB       ;Crypto;2020;General;209
Avalanche                             ;AVAX      ;Crypto;2020;General;213
Solana                                ;SOL       ;Crypto;2020;General;212
Sui                                   ;SUI       ;Crypto;2020;General;220
Stellar                               ;XLM       ;Crypto;2020;General;221
